id_avis,date,source,produit,texte,texte_clean,texte_final,sentiment,note,langue
AV0025,2026-01-22,sav,SmartPhone X,très satisfait de mon achat 👍,TRÈS SATISFAIT DE MON ACHAT 👍,très satisfait achat 👍,positif,5,fr
AV0026,2026-06-18,sav,Tablette TabPlus,"produit reçu endommagé, je suis mécontent. !","Produit reçu endommagé, je suis mécontent. !",produit recevoir endommagé mécontent !,negatif,2,fr
AV0027,2026-07-13,mobile,Ordinateur NovaBook,"je recommande vivement, tout fonctionne parfaitement.","Je recommande vivement, tout fonctionne parfaitement.",recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0029,2026-02-28,réseaux_sociaux,SmartPhone Y,"produit excellent, je suis trèèès satisfait.","Produit excellent, je suis trèèès satisfait.",produit excellent trèèès satisfait,positif,5,fr
AV0030,2026-08-20,web,SmartWatch Pro,"je recommande vivement, tout fonctionne parfaitement.","JE RECOMMANDE VIVEMENT, TOUT FONCTIONNE PARFAITEMENT.",recommander vivement tout fonctionner parfaitement,positif,4,fr
AV0031,2026-02-24,réseaux_sociaux,SmartPhone Y,"très bonne expérience, simple et efficace.","Très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0032,2026-03-04,sav,Écouteurs AirSound,"je viens de recevoir le produit, à voir dans le temps.","Je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,4,fr
AV0033,2026-04-19,sav,Écouteurs AirSound,service client réactif et commande reçue rapidement.,Service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,4,fr
AV0034,2026-04-14,email,SmartPhone X,la batterie se décharge beaucoup trop vite.,La batterie se décharge beaucoup trop vite.,batterie décharge beaucoup trop vite,negatif,1,fr
AV0035,2026-02-05,sav,SmartPhone Y,"produit parfait, rien à signaler.","Produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0036,2026-07-26,réseaux_sociaux,SmartPhone X,"très bon produit, la qualité est au rendez-vous.","Très bon produit, la qualité est au rendez-vous.",très bon produit qualité rendez-vous,positif,5,fr
AV0037,2026-02-12,sav,Écouteurs AirSound,"très bon produit, la qualité est au rendez-vous.","Très bon produit, la qualité est au rendez-vous.",très bon produit qualité rendez-vous,positif,4,fr
AV0039,2026-06-28,réseaux_sociaux,Ordinateur NovaBook,"très bonne expérience, simple et efficace. avis","Très bonne expérience, simple et efficace. avis",très bon expérience simple efficace avis,positif,5,fr
AV0040,2026-02-25,web,Tablette TabPlus,la livraison s'est déroulée normalement. 😊,La livraison s'est déroulée normalement. 😊,livraison dérouler normalement 😊,neutre,3,fr
AV0041,2026-01-15,web,Tablette TabPlus,la qualité est correcte sans être exceptionnelle.,La qualité est correcte sans être exceptionnelle.,qualité correct sans exceptionnel,neutre,3,fr
AV0045,2026-03-03,email,Écouteurs AirSound,"je recommande vivement, tout fonctionne parfaitement.","Je recommande vivement, tout fonctionne parfaitement.",recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0046,2026-08-26,web,SmartPhone X,excellent rapport qualité-prix.,Excellent rapport qualité-prix.,excellent rapport qualité-prix,positif,5,fr
AV0049,2026-01-03,réseaux_sociaux,SmartWatch Pro,très satisfait de mon achat 👍,Très satisfait de mon achat 👍,très satisfait achat 👍,positif,5,fr
AV0050,2026-01-30,web,Ordinateur NovaBook,"produit reçu endommagé, je suis mécontent. 😊","Produit reçu endommagé, je suis mécontent. 😊",produit recevoir endommagé mécontent 😊,negatif,1,fr
AV0052,2026-03-06,web,SmartPhone X,"je viens de recevoir le produit, à voir dans le temps.","Je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0053,2026-03-27,mobile,Ordinateur NovaBook,"produit excellent, je suis très satisfait.","Produit excellent, je suis très satisfait.",produit excellent très satisfait,positif,5,fr
AV0054,2026-06-30,sav,Tablette TabPlus,qualité décevante pour ce prix.,Qualité décevante pour ce prix.,qualité décevant prix,negatif,1,fr
AV0057,2026-04-01,réseaux_sociaux,Écouteurs AirSound,la livraison a été très longue.,LA LIVRAISON A ÉTÉ TRÈS LONGUE.,livraison très long,negatif,1,fr
AV0058,2026-08-10,mobile,SmartPhone Y,"produit reçu endommagé, je suis mécontent.","Produit reçu endommagé, je suis mécontent.",produit recevoir endommagé mécontent,negatif,2,fr
AV0059,2026-07-20,sav,Ordinateur NovaBook,"produit reçu endommagé, je suis mécontent.","Produit reçu endommagé, je suis mécontent.",produit recevoir endommagé mécontent,negatif,1,fr
AV0060,2026-07-21,web,Écouteurs AirSound,le produit ne fonctionne déjà plus. !,Le produit ne fonctionne déjà plus. !,produit ne fonctionner déjà plus !,negatif,1,fr
AV0061,2026-07-29,sav,SmartWatch Pro,la livraison a été très longue.,La livraison a été très longue.,livraison très long,negatif,2,fr
AV0063,2026-06-14,réseaux_sociaux,Écouteurs AirSound,"très bonne expérience, simple et efficace.","Très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,4,fr
AV0064,2026-01-30,email,SmartPhone Y,produit correct pour son prix.,Produit correct pour son prix.,produit correct prix,neutre,4,fr
AV0066,2026-01-30,sav,Tablette TabPlus,l'utilisation est assez simple.,L'utilisation est assez simple.,utilisation assez simple,neutre,3,fr
AV0067,2026-05-14,réseaux_sociaux,Ordinateur NovaBook,service client réactif et commande reçue rapidement.,Service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,4,fr
AV0068,2026-04-04,sav,SmartPhone X,la qualité est correcte sans être exceptionnelle.,La qualité est correcte sans être exceptionnelle.,qualité correct sans exceptionnel,neutre,4,fr
AV0069,2026-07-04,email,Tablette TabPlus,"mauvaise expérience, je ne recommande pas.","MAUVAISE EXPÉRIENCE, JE NE RECOMMANDE PAS.",mauvais expérience ne recommander pas,negatif,2,fr
AV0071,2026-06-07,réseaux_sociaux,SmartWatch Pro,service client réactif et commande reçue rapidement. !,Service client réactif et commande reçue rapidement. !,service client réactif commande reçu rapidement !,positif,5,fr
AV0072,2026-02-23,sav,Tablette TabPlus,"très bonne expérience, simple et efficace. 😊","Très bonne expérience, simple et efficace. 😊",très bon expérience simple efficace 😊,positif,4,fr
AV0073,2026-04-24,mobile,Tablette TabPlus,excellent rapport qualité-prix.,Excellent rapport qualité-prix.,excellent rapport qualité-prix,positif,5,fr
AV0074,2026-05-12,réseaux_sociaux,SmartWatch Pro,"très bon produit, la qualité est au rendez-vous. 😊","Très bon produit, la qualité est au rendez-vous. 😊",très bon produit qualité rendez-vous 😊,positif,5,fr
AV0076,2026-04-27,sav,Ordinateur NovaBook,excellent rapport qualité-prix.,EXCELLENT RAPPORT QUALITÉ-PRIX.,excellent rapport qualité-prix,positif,5,fr
AV0077,2026-03-04,mobile,Ordinateur NovaBook,excellent rapport qualité-prix. avis,Excellent rapport qualité-prix. avis,excellent rapport qualité-prix avis,positif,5,fr
AV0078,2026-02-15,réseaux_sociaux,Écouteurs AirSound,l'utilisation est assez simple.,L'utilisation est assez simple.,utilisation assez simple,neutre,3,fr
AV0079,2026-02-04,sav,Ordinateur NovaBook,"très bon produit, la qualité est au rendez-vous.","Très bon produit, la qualité est au rendez-vous.",très bon produit qualité rendez-vous,positif,5,fr
AV0081,2026-03-08,mobile,Ordinateur NovaBook,qualité décevante pour ce prix.,Qualité décevante pour ce prix.,qualité décevant prix,negatif,2,fr
AV0082,2026-04-23,web,Ordinateur NovaBook,"je recommande vivement, tout fonctionne parfaitement. 😊","Je recommande vivement, tout fonctionne parfaitement. 😊",recommander vivement tout fonctionner parfaitement 😊,positif,5,fr
AV0083,2026-08-17,réseaux_sociaux,SmartPhone X,la batterie tient vraiment bien et l'écran est superbe.,La batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien écran superbe,positif,5,fr
AV0085,2026-04-17,web,SmartPhone Y,"produit parfait, rien à signaler.","Produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0086,2026-08-08,réseaux_sociaux,Écouteurs AirSound,"je viens de recevoir le produit, à voir dans le temps.","Je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0088,2026-05-05,mobile,SmartWatch Pro,"je viens de recevoir le produit, à voir dans le temps.","Je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,4,fr
AV0091,2026-02-04,sav,SmartPhone Y,"très bon produit, la qualité est au rendez-vous. avis","Très bon produit, la qualité est au rendez-vous. avis",très bon produit qualité rendez-vous avis,positif,4,fr
AV0092,2026-04-27,email,SmartWatch Pro,la batterie tient vraiment bien et l'écran est superbe.,La batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien écran superbe,positif,5,fr
AV0095,2026-08-03,web,Tablette TabPlus,"je recommande vivement, tout fonctionne parfaitement.","Je recommande vivement, tout fonctionne parfaitement.",recommander vivement tout fonctionner parfaitement,positif,4,fr
AV0097,2026-07-19,mobile,SmartWatch Pro,la livraison s'est déroulée normalement.,LA LIVRAISON S'EST DÉROULÉE NORMALEMENT.,livraison dérouler normalement,neutre,3,fr
AV0100,2026-05-17,sav,Ordinateur NovaBook,le produit correspond globalement à la description.,Le produit correspond globalement à la description.,produit correspondre globalement description,neutre,4,fr
AV0101,2026-07-30,sav,SmartPhone X,"produit excellent, je suis très satisfait. avis","Produit excellent, je suis très satisfait. avis",produit excellent très satisfait avis,positif,5,fr
AV0102,2026-04-22,mobile,Ordinateur NovaBook,excellent rapport qualité-prix. !,Excellent rapport qualité-prix. !,excellent rapport qualité-prix !,positif,5,fr
AV0105,2026-03-28,web,Écouteurs AirSound,qualité décevante pour ce prix. avis,Qualité décevante pour ce prix. avis,qualité décevant prix avis,negatif,1,fr
AV0106,2026-04-01,email,SmartWatch Pro,qualité décevante pour ce prix.,Qualité décevante pour ce prix.,qualité décevant prix,negatif,1,fr
AV0107,2026-05-13,mobile,SmartPhone X,"produit parfait, rien à signaler.","Produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0111,2026-03-11,email,SmartWatch Pro,la batterie tient vraiment bien et l'écran est superbe.,La batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien écran superbe,positif,5,fr
AV0113,2026-07-05,réseaux_sociaux,Tablette TabPlus,excellent rapport qualité-prix. 😊,Excellent rapport qualité-prix. 😊,excellent rapport qualité-prix 😊,positif,5,fr
AV0115,2026-01-14,réseaux_sociaux,SmartWatch Pro,"très bonne expérience, simple et efficace.","Très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0116,2026-01-27,web,Tablette TabPlus,la qualité est correcte sans être exceptionnelle.,La qualité est correcte sans être exceptionnelle.,qualité correct sans exceptionnel,neutre,3,fr
AV0118,2026-04-13,sav,SmartPhone X,la batterie se décharge beaucoup trop vite.,LA BATTERIE SE DÉCHARGE BEAUCOUP TROP VITE.,batterie décharge beaucoup trop vite,negatif,2,fr
AV0119,2026-07-27,réseaux_sociaux,SmartWatch Pro,livraison rapide et produit conforme à mes attentes. !,Livraison rapide et produit conforme à mes attentes. !,livraison rapide produit conforme attente !,positif,4,fr
AV0120,2026-07-15,sav,Tablette TabPlus,"très bon produit, la qualité est au rendez-vous.","Très bon produit, la qualité est au rendez-vous.",très bon produit qualité rendez-vous,positif,5,fr
AV0121,2026-04-26,sav,SmartWatch Pro,"produit parfait, rien à signaler. avis","Produit parfait, rien à signaler. avis",produit parfait rien signaler avis,positif,5,fr
AV0123,2026-03-03,mobile,Tablette TabPlus,"très bon produit, la qualité est au rendez-vous. !","Très bon produit, la qualité est au rendez-vous. !",très bon produit qualité rendez-vous !,positif,5,fr
AV0124,2026-06-26,réseaux_sociaux,Écouteurs AirSound,service client réactif et commande reçue rapidement.,Service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,4,fr
AV0127,2026-01-19,web,SmartPhone Y,"très bonne expérience, simple et efficace. !","Très bonne expérience, simple et efficace. !",très bon expérience simple efficace !,positif,5,fr
AV0128,2026-04-23,web,Écouteurs AirSound,la qualité est correcte sans être exceptionnelle. 😊,La qualité est correcte sans être exceptionnelle. 😊,qualité correct sans exceptionnel 😊,neutre,4,fr
AV0129,2026-05-09,réseaux_sociaux,Écouteurs AirSound,l'utilisation est assez simple. 😊,L'utilisation est assez simple. 😊,utilisation assez simple 😊,neutre,4,fr
AV0133,2026-04-15,email,SmartWatch Pro,l'utilisation est assez simple.,L'utilisation est assez simple.,utilisation assez simple,neutre,3,fr
AV0137,2026-02-18,réseaux_sociaux,SmartWatch Pro,le service client n'a pas répondu à ma demande.,Le service client n'a pas répondu à ma demande.,service client pas répondre demande,negatif,2,fr
AV0139,2026-02-01,web,Ordinateur NovaBook,excellent rapport qualité-prix.,Excellent rapport qualité-prix.,excellent rapport qualité-prix,positif,5,fr
AV0140,2026-05-22,web,Tablette TabPlus,livraison rapide et produit conforme à mes attentes. 😊,Livraison rapide et produit conforme à mes attentes. 😊,livraison rapide produit conforme attente 😊,positif,5,fr
AV0141,2026-01-31,mobile,Écouteurs AirSound,"très bon produit, la qualité est au rendez-vous.","Très bon produit, la qualité est au rendez-vous.",très bon produit qualité rendez-vous,positif,5,fr
AV0142,2026-08-02,sav,Écouteurs AirSound,le produit ne fonctionne déjà plus. avis,Le produit ne fonctionne déjà plus. avis,produit ne fonctionner déjà plus avis,negatif,2,fr
AV0143,2026-08-24,réseaux_sociaux,Tablette TabPlus,service client réactif et commande reçue rapidement.,Service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,5,fr
AV0146,2026-05-18,sav,SmartWatch Pro,livraison rapide et produit conforme à mes attentes.,Livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0148,2026-01-12,email,Ordinateur NovaBook,"je recommande vivement, tout fonctionne parfaitement. avis","Je recommande vivement, tout fonctionne parfaitement. avis",recommander vivement tout fonctionner parfaitement avis,positif,5,fr
AV0150,2026-01-26,réseaux_sociaux,Écouteurs AirSound,"très bon produit, je recommande.","Très bon produit, je recommande.",très bon produit recommander,positif,5,fr
AV0152,2026-08-07,réseaux_sociaux,Écouteurs AirSound,"très bon produit, la qualité est au rendez-vous.","Très bon produit, la qualité est au rendez-vous.",très bon produit qualité rendez-vous,positif,5,fr
AV0155,2026-06-27,email,SmartPhone X,l'utilisation est assez simple. !,L'utilisation est assez simple. !,utilisation assez simple !,neutre,3,fr
AV0160,2026-04-24,email,Tablette TabPlus,"produit reçu endommagé, je suis mécontent.","PRODUIT REÇU ENDOMMAGÉ, JE SUIS MÉCONTENT.",produit recevoir endommagé mécontent,negatif,2,fr
AV0161,2026-08-05,email,SmartPhone Y,"très bonne expérience, simple et efficace.","Très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0162,2026-04-08,réseaux_sociaux,SmartWatch Pro,la batterie se décharge beaucoup trop vite.,La batterie se décharge beaucoup trop vite.,batterie décharge beaucoup trop vite,negatif,2,fr
AV0164,2026-08-02,email,SmartPhone Y,très déçu par ce produit.,Très déçu par ce produit.,très déçu produit,negatif,2,fr
AV0166,2026-06-10,web,Ordinateur NovaBook,la qualité est correcte sans être exceptionnelle. !,La qualité est correcte sans être exceptionnelle. !,qualité correct sans exceptionnel !,neutre,4,fr
AV0171,2026-08-05,réseaux_sociaux,SmartWatch Pro,la livraison a été très longue. avis,La livraison a été très longue. avis,livraison très long avis,negatif,1,fr
AV0172,2026-05-18,web,Écouteurs AirSound,"produit excellent, je suis très satisfait. 😊","Produit excellent, je suis très satisfait. 😊",produit excellent très satisfait 😊,positif,5,fr
AV0174,2026-03-25,réseaux_sociaux,SmartPhone Y,le produit correspond globalement à la description.,Le produit correspond globalement à la description.,produit correspondre globalement description,neutre,3,fr
AV0176,2026-01-25,mobile,Tablette TabPlus,qualité décevante pour ce prix.,QUALITÉ DÉCEVANTE POUR CE PRIX.,qualité décevant prix,negatif,2,fr
AV0177,2026-04-18,réseaux_sociaux,Ordinateur NovaBook,la batterie tient vraiment bien et l'écran est superbe.,La batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien écran superbe,positif,5,fr
AV0178,2026-08-02,sav,Tablette TabPlus,la qualité est correcte sans être exceptionnelle.,LA QUALITÉ EST CORRECTE SANS ÊTRE EXCEPTIONNELLE.,qualité correct sans exceptionnel,neutre,3,fr
AV0179,2026-02-25,sav,Écouteurs AirSound,"produit excellent, je suis très satisfait.","Produit excellent, je suis très satisfait.",produit excellent très satisfait,positif,5,fr
AV0180,2026-05-20,email,SmartPhone X,la batterie se décharge beaucoup trop vite.,La batterie se décharge beaucoup trop vite.,batterie décharge beaucoup trop vite,negatif,2,fr
AV0181,2026-01-24,mobile,Ordinateur NovaBook,"très bon produit, la qualité est au rendez-vous.","Très bon produit, la qualité est au rendez-vous.",très bon produit qualité rendez-vous,positif,5,fr
AV0186,2026-01-05,mobile,SmartWatch Pro,"je viens de recevoir le produit, à voir dans le temps.","Je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0187,2026-07-10,web,Écouteurs AirSound,"produit parfait, rien à signaler.","PRODUIT PARFAIT, RIEN À SIGNALER.",produit parfait rien signaler,positif,5,fr
AV0189,2026-06-14,web,SmartPhone X,le produit ne fonctionne déjà plus.,Le produit ne fonctionne déjà plus.,produit ne fonctionner déjà plus,negatif,1,fr
AV0190,2026-05-06,sav,SmartPhone X,le service client n'a pas répondu à ma demande.,LE SERVICE CLIENT N'A PAS RÉPONDU À MA DEMANDE.,service client pas répondre demande,negatif,2,fr
AV0200,2026-08-05,web,SmartWatch Pro,excellent rapport qualité-prix.,Excellent rapport qualité-prix.,excellent rapport qualité-prix,positif,5,fr
AV0203,2026-03-11,email,SmartWatch Pro,le produit correspond globalement à la description. !,Le produit correspond globalement à la description. !,produit correspondre globalement description !,neutre,3,fr
AV0204,2026-01-18,mobile,Ordinateur NovaBook,livraison rapide et produit conforme à mes attentes. avis,Livraison rapide et produit conforme à mes attentes. avis,livraison rapide produit conforme attente avis,positif,5,fr
AV0206,2026-07-04,email,Tablette TabPlus,la batterie tient vraiment bien et l'écran est superbe. 😊,La batterie tient vraiment bien et l'écran est superbe. 😊,batterie tenir vraiment bien écran superbe 😊,positif,5,fr
AV0208,2026-05-05,réseaux_sociaux,Écouteurs AirSound,l'utilisation est assez simple. avis,L'utilisation est assez simple. avis,utilisation assez simple avis,neutre,3,fr
AV0210,2026-01-12,mobile,Écouteurs AirSound,"produit parfait, rien à signaler. 😊","Produit parfait, rien à signaler. 😊",produit parfait rien signaler 😊,positif,5,fr
AV0211,2026-03-19,mobile,SmartPhone Y,très déçu par ce produit.,Très déçu par ce produit.,très déçu produit,negatif,1,fr
AV0212,2026-01-02,sav,Ordinateur NovaBook,produit correct pour son prix.,PRODUIT CORRECT POUR SON PRIX.,produit correct prix,neutre,3,fr
AV0219,2026-05-11,web,Tablette TabPlus,livraison rapide et produit conforme à mes attentes.,LIVRAISON RAPIDE ET PRODUIT CONFORME À MES ATTENTES.,livraison rapide produit conforme attente,positif,5,fr
AV0220,2026-03-02,web,SmartPhone Y,la batterie tient vraiment bien et l'écran est superbe. !,La batterie tient vraiment bien et l'écran est superbe. !,batterie tenir vraiment bien écran superbe !,positif,5,fr
AV0222,2026-07-13,réseaux_sociaux,Tablette TabPlus,qualité décevante pour ce prix.,Qualité décevante pour ce prix.,qualité décevant prix,negatif,2,fr
AV0225,2026-04-05,email,SmartPhone X,ok,OK,ok,positif,5,fr
AV0229,2026-07-01,sav,Écouteurs AirSound,"produit excellent, je suis très satisfait.","Produit excellent, je suis très satisfait.",produit excellent très satisfait,positif,5,fr
AV0235,2026-01-24,sav,Tablette TabPlus,la qualité est correcte sans être exceptionnelle.,La qualité est correcte sans être exceptionnelle.,qualité correct sans exceptionnel,neutre,4,fr
AV0242,2026-04-29,email,Écouteurs AirSound,"mauvaise expérience, je ne recommande pas.","Mauvaise expérience, je ne recommande pas.",mauvais expérience ne recommander pas,negatif,1,fr
AV0243,2026-07-25,réseaux_sociaux,SmartPhone Y,livraison rapide et produit conforme à mes attentes.,Livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0244,2026-05-22,web,Ordinateur NovaBook,qualité décevante pour ce prix.,Qualité décevante pour ce prix.,qualité décevant prix,negatif,1,fr
AV0249,2026-02-05,web,SmartWatch Pro,produit correct pour son prix. !,Produit correct pour son prix. !,produit correct prix !,neutre,4,fr
AV0250,2026-04-25,réseaux_sociaux,SmartPhone X,"produit reçu endommagé, je suis mécontent.","Produit reçu endommagé, je suis mécontent.",produit recevoir endommagé mécontent,negatif,2,fr
AV0251,2026-08-02,mobile,Tablette TabPlus,le produit ne fonctionne déjà plus.,Le produit ne fonctionne déjà plus.,produit ne fonctionner déjà plus,negatif,1,fr
AV0257,2026-08-12,sav,SmartPhone X,très déçu par ce produit. avis,Très déçu par ce produit. avis,très déçu produit avis,negatif,2,fr
AV0259,2026-02-04,web,SmartWatch Pro,très satisfait de mon achat 👍,Très satisfait de mon achat 👍,très satisfait achat 👍,positif,4,fr
AV0260,2026-06-11,mobile,SmartPhone Y,excellent rapport qualité-prix.,Excellent rapport qualité-prix.,excellent rapport qualité-prix,positif,5,fr
AV0266,2026-07-06,sav,SmartPhone X,le produit ne fonctionne déjà plus.,LE PRODUIT NE FONCTIONNE DÉJÀ PLUS.,produit ne fonctionner déjà plus,negatif,2,fr
AV0268,2026-06-04,sav,SmartPhone Y,"très bonne expérience, simple et efficace.","Très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0270,2026-06-21,sav,SmartWatch Pro,très déçu par ce produit.,TRÈS DÉÇU PAR CE PRODUIT.,très déçu produit,negatif,2,fr
AV0280,2026-03-02,sav,SmartPhone X,"je recommande vivement, tout fonctionne parfaitement. !","Je recommande vivement, tout fonctionne parfaitement. !",recommander vivement tout fonctionner parfaitement !,positif,4,fr
AV0283,2026-04-30,réseaux_sociaux,SmartWatch Pro,"très bon produit, la qualité est au rendez-vous.","Très bon produit, la qualité est au rendez-vous.",très bon produit qualité rendez-vous,positif,5,fr
AV0289,2026-01-21,web,Ordinateur NovaBook,très déçu par ce produit.,Très déçu par ce produit.,très déçu produit,negatif,2,fr
AV0292,2026-01-19,web,SmartPhone Y,"très bonne expérience, simple et efficace.","Très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0295,2026-02-01,email,Écouteurs AirSound,"je recommande vivement, tout fonctionne parfaitement.","Je recommande vivement, tout fonctionne parfaitement.",recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0298,2026-05-08,web,SmartPhone X,qualité décevante pour ce prix. 😊,Qualité décevante pour ce prix. 😊,qualité décevant prix 😊,negatif,2,fr
AV0300,2026-03-15,réseaux_sociaux,SmartPhone X,excellent rapport qualité-prix.,Excellent rapport qualité-prix.,excellent rapport qualité-prix,positif,5,fr
AV0303,2026-07-15,réseaux_sociaux,SmartWatch Pro,"produit parfait, rien à signaler.","Produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0305,2026-07-13,mobile,SmartPhone Y,"produit parfait, rien à signaler.","Produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0307,2026-02-08,réseaux_sociaux,Tablette TabPlus,"je viens de recevoir le produit, à voir dans le temps.","Je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0310,2026-07-23,web,Tablette TabPlus,service client réactif et commande reçue rapidement. 😊,Service client réactif et commande reçue rapidement. 😊,service client réactif commande reçu rapidement 😊,positif,4,fr
AV0312,2026-01-09,réseaux_sociaux,Ordinateur NovaBook,la livraison s'est déroulée normalement.,La livraison s'est déroulée normalement.,livraison dérouler normalement,neutre,3,fr
AV0314,2026-08-12,web,Ordinateur NovaBook,"je viens de recevoir le produit, à voir dans le temps.","Je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
